,Período,Hacienda,Zona,Tenencia,Suerte,Suelo,Area Neta,Dist Km,Variedad,Cod.Estado #,Cod.Estado,Edad Ult Cos,Destino 1=Semilla,Cod. T.Cultivo,Producto,Dosis Madurante,TonUltCorte,TCH,TCHM,Ton.Azucar,Rdto,TAH,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,KATRHM,%Fibra Caña,%AR Jugo,%ME Min,%ME Veg,%ME Tot,Brix,Pureza,Vejez,Tipo Quema,T.Corte,Cerca de,Cosechó,Num.Riegos,M3 Riego,DDUlt.Riego,Lluvias (2 Meses Ant.),Lluvias Ciclo,Lluvias 0 -3,Lluvias tres a seis,Lluvias seis a nueve,Luvias 9 -FC,%Infest.Diatrea,Fosfato Jugo,NITO_XTEND,Vinaza,Codigo Estacion,Temp. Media 0-3,Temp. Media Ciclo,Temp Max Ciclo,Temp Min Ciclo,Humedad Rel Media 0-3 ,Humedad Rel Media Ciclo,Oscilacion Temp Med 0-3,Oscilacion Temp Ciclo,Radicion Solar 0-3,Radiacion Solar Ciclo,Precipitacion 0_3,Precipitacion Ciclo,Evaporacion 0-3,Evaporacion Ciclo,DS_indicator,catSac,Mes Siembra,Ano Siembra,Mes Ult.Corte,Ano Ult.Corte
17263,202303,80304,2,51.0,47,14,0.1076923076923077,0.24361948955916474,11,7,3,0.43317278747742327,0,1.0,3,0.4,0.0898287520248916,0.5277964203524069,0.383285067427189,0.09498023724639225,0.788440934065934,0.5698179769926202,0.46354746680536013,0.0,0.726410693970421,0.7748432312799706,0.798206685205153,0.4390050162615032,0.6532028649248461,0.27278481012658223,0.05543945199117613,0.5686266666666667,0.6004666666666666,0.8004397053973838,0.9622223914816864,0.007441352837945938,0,0,2,0,2.6086,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20041025483432312,0.002944860439315376,0.0,0.0,4,23.222,22.997,33.3,15.4,80.604,81.59,15.4,22.997,443.988,434.321,278.4,1461.3,439.9,2080.9,False,0,4,2014,4,2023
17264,202303,80318,3,51.0,40,31,0.17446153846153845,0.40603248259860786,13,0,1,0.4422034918723661,0,1.0,2,0.44000000000000006,0.1759540005439125,0.6381682660159269,0.45397262808022304,0.16396434380734642,0.6948695054945054,0.6072077297854993,0.4838761243345775,0.0,0.6523663253697384,0.7217447436370344,0.7309573803983883,0.4761611302794099,0.5635293722048489,0.35101265822784805,0.044177406246371766,0.5688266666666667,0.5941933333333334,0.7415356711003628,0.9319400335796059,0.013227004669448907,0,0,1,0,2.7091,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2081313430083818,0.0010589866172103092,0.0,0.0,2,22.829,22.829,33.5,15.6,81.33,81.136,15.4,22.829,451.365,448.175,290.5,1253.8,483.8,2439.3,False,0,1,2022,1,2023
17266,202303,81104,3,51.0,50,37,0.2786153846153846,0.3387470997679814,2,6,9,0.356110776640578,0,1.0,0,0.0,0.15327056943583436,0.3480883049213641,0.3074828864698622,0.1535730482870854,0.7471497252747253,0.35612093042765747,0.352396285871627,0.0,0.7015813424345848,0.8281630394688309,0.7813063957777653,0.3447264009108839,0.5261239449880628,0.28658227848101264,0.039730639730639734,0.70922,0.7319933333333334,0.7903264812575576,0.9469493005352647,0.015391198119818185,0,0,6,0,1.0386,0.0,0,0.0,70.0,70.0,0.0,0.0,0.0,0.07979226047340643,0.0008356767198584925,0.0,0.0,7,23.561,23.669,34.1,16.5,78.578,76.219,14.2,23.669,411.144,439.772,204.4,877.6,392.1,1823.8,False,0,12,2015,12,2023
17269,202303,80344,2,51.0,68,17,0.08723076923076922,0.4013921113689095,8,17,16,0.37567730282962075,0,1.0,2,0.32,0.051295846163981175,0.3720902189299268,0.31156592875454214,0.05723147198091947,0.8319642857142857,0.4238896450194943,0.3976098329560056,0.0,0.7716154721274175,0.9497725316611337,0.8332671244537768,0.37253440813171695,0.47967315646121256,0.11814345991561181,0.09799140833623593,0.5001333333333333,0.5564,0.8562712982301859,0.9611615761882842,0.017462374659713134,0,0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011758315751375422,0.0,0.0,4,22.986,22.965,33.3,15.4,83.978,82.0,15.9,22.965,408.459,431.795,312.4,1291.6,385.3,1788.2,False,0,4,2003,4,2023
17270,202303,80344,2,51.0,118,41,0.07215384615384617,0.4013921113689095,2,2,0,0.4370860927152318,0,1.0,0,0.0,0.042581844471433615,0.3734227232069196,0.2687511938215962,0.04142982608310081,0.7255013736263736,0.3709720636620227,0.29908408798874137,0.7716800414185866,0.6927189988623437,0.8413254641583673,0.8002383519664038,0.30860429169796466,0.5181747873163186,0.43881856540084385,0.040287936839660976,0.48486666666666667,0.508,0.8137847642079806,0.9079342581523269,0.019434333161768808,0,0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342081531848329,0.0,0.0,4,23.179,22.998,33.3,15.4,80.549,81.569,15.4,22.998,444.124,434.701,288.3,1475.8,441.0,2102.3,False,0,8,2019,8,2023
17271,202303,80396,2,51.0,73,11,0.20846153846153848,0.3410672853828306,2,3,6,0.37387116195063214,0,1.0,2,0.44000000000000006,0.12090988788983914,0.36700470860001216,0.30879219703321675,0.11787329278358055,0.7269505494505495,0.365323026464818,0.3443293764914642,0.0,0.6813879408418658,0.8227714250584042,0.7625730662277964,0.33789361040568583,0.4773865967248394,0.3024472573839662,0.028596307906652733,0.5264,0.5428266666666667,0.7676816532922942,0.9483037442033233,0.016823658541122777,0,0,4,0,0.0,0.0,0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0008575263144061962,0.0,0.0,4,22.97,22.962,33.3,15.4,84.099,82.026,15.9,22.962,407.436,431.422,312.4,1291.6,383.4,1781.5,False,0,10,2018,10,2023
17272,202303,80468,3,51.0,47,18,0.14553846153846156,0.32366589327146167,2,3,6,0.42835641180012046,0,1.0,0,0.0,0.13637845498448498,0.5929304339519413,0.43542676612814407,0.12723308225055016,0.6956730769230769,0.56481972900433,0.4646477084990516,0.0,0.6532536973833902,0.7981618099102423,0.7259065887293571,0.45355301431322265,0.4764753354181378,0.24050632911392403,0.019900150934633695,0.5910266666666666,0.6024533333333333,0.742871276244916,0.9458807581793717,0.015347790228263498,0,0,1,0,1.4962,0.0,0,0.0,312.0,264.0,48.0,0.0,0.0,0.11494818035847361,0.002843757013570088,0.0,0.0,6,23.234,23.157,34.2,15.1,83.857,83.559,16.7,23.157,444.735,440.548,273.2,1306.0,458.2,2183.1,False,0,10,2018,10,2023
17273,202303,80689,2,51.0,8,22,0.36230769230769233,0.3410672853828306,2,6,9,0.37567730282962075,0,1.0,0,0.0,0.25367985513684804,0.4430412692898889,0.37097604530492606,0.2552876353851695,0.7504052197802198,0.45523935132640325,0.4270157712782231,0.0,0.7016666666666668,0.8465941227099472,0.7784007718063675,0.4143633465748286,0.4899862133898248,0.26274261603375526,0.07867177522349936,0.5220933333333334,0.56726,0.7862866879190943,0.9527777133855904,0.01655080893706476,0,0,4,0,1.1601,0.0,0,0.0,93.0,93.0,0.0,0.0,0.0,0.08912671035547735,0.0015307434645637323,0.0,0.0,8,23.27,23.212,33.5,16.3,84.33,82.919,15.5,23.212,428.336,448.174,328.9,1392.7,426.6,1900.3,False,0,7,2015,7,2023
17274,202303,81104,3,51.0,69,37,0.08461538461538462,0.3387470997679814,8,10,7,0.35791691751956656,0,1.0,0,0.0,0.04817426145298958,0.3602479248986114,0.31661822167972026,0.05318012693903301,0.8231662087912088,0.4060575764036201,0.39978316404576886,0.0,0.7632366325369739,0.9221996803147672,0.8329493218319052,0.3784309864103023,0.5090352735465213,0.1861181434599156,0.028027400441193548,0.58238,0.5984266666666667,0.8444707046278993,0.9641883769526012,0.01209219836166215,0,0,6,0,0.0,0.0,0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0015810203528966254,0.0,0.0,7,23.561,23.672,34.1,16.5,78.578,76.213,14.2,23.672,411.144,440.279,204.4,878.0,392.1,1831.1,False,0,10,2011,10,2023
17275,202303,81108,4,81.0,51,2,0.05184615384615385,0.27958236658932717,2,1,5,0.38169777242624925,0,1.0,2,0.44000000000000006,0.037830211467094144,0.4616979861225695,0.3805003004564455,0.04085106250568846,0.8052197802197802,0.5090663584154026,0.46997414795325215,0.0,0.7497952218430035,0.9143796876921186,0.8175983201861416,0.44640309281924095,0.4637445778270957,0.17371308016877637,0.08684546615581099,0.62578,0.6756733333333333,0.8353193360448501,0.9581171135668451,0.02051332932327097,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021718374526951737,0.0,0.0,4,23.043,22.969,33.3,15.4,83.396,81.912,15.9,22.969,420.123,434.073,250.1,1291.8,399.8,1827.8,False,0,2,2021,2,2023
17276,202303,81143,4,51.0,97,2,0.18876923076923077,0.19721577726218098,0,3,6,0.35009030704394944,0,1.0,2,0.48,0.1658324986022125,0.5558712264765395,0.4994715422334604,0.15500050952976235,0.6969711538461538,0.5305050295444123,0.5339843510983295,0.0,0.6580375426621161,0.7810832411164392,0.7409170875659725,0.531022065279554,0.5125928914892901,0.3233755274261603,0.05773830256588878,0.5737266666666667,0.60688,0.7509343739694405,0.9303007924654518,0.013747899368105122,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021564389293691716,0.0,0.0,4,22.879,22.959,33.3,15.4,83.549,81.837,15.9,22.959,406.692,432.34,273.6,1200.6,387.3,1674.6,False,0,2,2019,2,2023
17278,202303,80211,2,31.0,8,3,0.5995384615384616,0.24361948955916474,2,6,9,0.35490668272125225,0,1.0,2,0.52,0.397881275052491,0.41992546135074815,0.3721985621796011,0.4094347798014623,0.7673282967032967,0.44122005613363197,0.43808702502600505,0.0,0.717349260523322,0.8446145333825158,0.7916803813631463,0.4228212081473494,0.5398870170483204,0.24514767932489448,0.07746429815395334,0.5468933333333333,0.59136,0.8028800703528636,0.9537745044469245,0.013549463292426563,0,0,2,0,2.2488,177243.12,74,201.0,1007.0,206.0,181.0,305.0,315.0,0.17276799090371306,0.0016078522728346014,11050.0,245690.0,4,22.849,22.956,33.3,15.4,83.901,81.889,15.9,22.956,407.269,432.346,282.2,1245.7,385.6,1696.7,True,0,10,2015,10,2023
17279,202303,80257,3,31.0,0,2,0.3141538461538462,0.32366589327146167,0,3,6,0.35490668272125225,0,1.0,0,0.0,0.22168699018761603,0.4465124610294309,0.3957637928094169,0.181929351948154,0.6119505494505494,0.37415191754627153,0.37149505904668667,0.0,0.6103526734926054,0.7966277411354814,0.7031383008909824,0.39930891750829955,0.5185770234501655,0.3113161820361602,0.0,0.0,0.6266666666666667,0.0,0.0,0.07634850352961008,0,0,1,1,0.0,153466.2,44,155.0,919.0,248.0,83.0,287.0,301.0,0.0,0.0023355803089659625,3050.0,149180.0,6,23.04,23.154,34.2,15.1,85.538,83.542,15.8,23.154,426.237,438.848,309.2,1090.9,422.6,1801.0,True,0,2,2019,2,2023
17280,202303,80270,2,31.0,8,23,0.05076923076923077,0.3410672853828306,2,6,9,0.42414208308248047,0,1.0,0,0.0,0.04074022773379369,0.5077601653481082,0.3765857635263662,0.038279298544767436,0.7006318681318681,0.48713684305849564,0.40472373493238695,0.0,0.6568771331058021,0.7740501659904095,0.7329379717382669,0.39606214141558554,0.5042940246813947,0.3351476793248945,0.025647277371415304,0.5881133333333334,0.6028733333333334,0.7468011432340332,0.9382088889919163,0.021672940140517547,0,0,2,0,1.0606,88002.0,163,119.0,902.0,222.0,129.0,142.0,409.0,0.08148244892941928,0.001808902078224909,0.0,0.0,4,23.103,22.973,33.3,15.4,81.582,81.772,15.4,22.973,445.857,433.858,317.4,1497.1,434.7,2032.8,True,0,5,2015,5,2023
17281,202303,80354,3,51.0,32,14,0.08953846153846154,0.31322505800464034,8,12,10,0.3976520168573149,0,1.0,2,0.44000000000000006,0.0745079872366374,0.5265370791395646,0.4165262878880224,0.07918714833694931,0.7925068681318681,0.5713900179304335,0.506347518815395,0.0,0.7341865756541526,0.7632484937907291,0.7956415640429034,0.47554550553831465,0.724503177645516,0.24894514767932488,0.26448391965633344,0.5651333333333334,0.7170666666666666,0.8174123337363967,0.9580144540223224,0.01587488605428467,0,0,1,0,0.0,0.0,0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0029848032291952997,0.0,0.0,6,23.14,23.132,34.2,15.1,85.67,83.752,16.7,23.132,433.088,439.501,289.5,1285.6,435.6,2018.5,False,0,11,2009,11,2023
17284,202303,80114,3,11.0,105,17,0.17969230769230768,0.2099767981438515,2,7,3,0.3440698374473209,0,1.0,2,0.44000000000000006,0.11868567432479685,0.4179309880070516,0.3820978706106841,0.11945866935719125,0.7505357142857142,0.429512449410376,0.43989437373799184,0.0,0.6897952218430035,0.7737612197221199,0.7604392486238012,0.4169378687862973,0.5722451999058475,0.260337552742616,0.04307442238476721,0.5248666666666667,0.5496,0.7626964933494559,0.9658828113702621,0.012588288550858546,0,0,0,0,2.7027,153295.62,47,174.0,899.0,179.0,172.0,346.0,202.0,0.20763965182117808,0.0022403418177176842,500.0,105190.0,2,22.744,22.804,33.5,15.6,82.187,81.08,15.5,22.804,421.178,446.934,287.3,970.8,453.5,1908.9,True,0,8,2015,8,2023
17286,202303,80527,3,51.0,109,2,0.15046153846153845,0.40255220417633414,8,23,18,0.3431667670078266,0,1.0,2,0.2,0.054259493553285694,0.2281844221934677,0.20916905080084328,0.05735593726638449,0.78823489010989,0.24628642448025884,0.25290338371168086,0.0,0.7261262798634813,0.7720152465264971,0.7953124113273935,0.23870822258650404,0.7008339217862066,0.2632489451476793,0.07407407407407408,0.5831266666666667,0.62566,0.8040947565131362,0.9637015720156705,0.02709272545748817,0,0,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001746038921729745,0.0,0.0,12,22.203,22.361,33.1,14.5,82.44,82.095,15.3,22.361,367.857,378.866,377.6,1391.7,379.9,1554.4,False,0,3,1998,3,2023
17287,202303,80114,3,11.0,111,34,0.12184615384615384,0.2099767981438515,2,4,4,0.3431667670078266,0,1.0,2,0.44000000000000006,0.07527360318374614,0.39090086929336265,0.3583257653544424,0.07761655201598756,0.7688873626373627,0.41155708987163436,0.4226140396500031,0.0,0.7060864618885098,0.7962621418910611,0.781964701208785,0.4020660570277869,0.5428561821177578,0.30801687763713076,0.040636247532799256,0.5269333333333334,0.5502,0.7760800263823239,0.9704163893203166,0.01385951966067431,0,0,0,0,0.0,46697.64,52,176.0,962.0,209.0,171.0,390.0,192.0,0.0,0.001134086075428517,0.0,115700.0,7,23.548,23.645,34.1,16.5,77.802,76.175,14.2,23.645,412.9,440.746,170.0,852.2,413.6,1773.3,True,0,7,2018,7,2023
17289,202303,80170,4,31.0,57,2,0.588,0.22041763341067286,2,6,9,0.3383503913305238,0,1.0,2,0.44000000000000006,0.443800073309944,0.47757963717206103,0.444013097679454,0.44813337077664006,0.7529601648351648,0.4923994118885771,0.5128262099981643,0.0,0.6951592718998864,0.7932128365916636,0.7699052267181205,0.4905296160467737,0.5128181848750799,0.3027004219409283,0.0681992337164751,0.60152,0.6406533333333333,0.7737221061888535,0.95630898094396,0.012383651347815034,0,0,0,0,0.0,445824.0,46,158.0,810.0,203.0,176.0,263.0,168.0,0.0,0.0012297556286283472,7450.0,206760.0,4,22.819,22.942,33.3,15.4,83.198,81.799,16.4,22.942,400.395,432.337,248.0,1184.2,388.8,1628.7,True,0,1,2016,1,2023
17290,202303,80452,3,51.0,18,19,0.26276923076923075,0.30162412993039445,2,5,2,0.38169777242624925,0,1.0,2,0.44000000000000006,0.14499659632402995,0.3491556339067832,0.2877504811042045,0.16597212444350404,0.8535508241758242,0.4080827294506471,0.3767453955822065,0.0,0.7801820250284415,0.8612443132915285,0.8473071902843199,0.34985587339772795,0.6052019234002488,0.20143459915611814,0.10041797283176594,0.5131,0.5707466666666666,0.8499285478729252,0.9800752174340193,0.05864406149037896,0,0,1,0,0.0,0.0,0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0022288061446314234,0.0,0.0,6,23.163,23.156,34.2,15.1,85.418,83.636,16.7,23.156,430.454,441.056,275.3,1186.8,431.8,1942.1,False,0,9,2016,9,2023
17291,202303,81132,1,51.0,47,40,0.22123076923076923,0.18329466357308585,0,3,6,0.34918723660445516,0,1.0,2,0.48,0.1847858217892694,0.5285168934703129,0.476120809264208,0.1886854832248022,0.7614148351648351,0.551036725079471,0.5560851740806462,0.0,0.7051194539249148,0.7967478175335055,0.7874694966233472,0.5380010215811631,0.5440398130401157,0.35645569620253165,0.027446882619296415,0.5429200000000001,0.5586800000000001,0.7904419039243706,0.9434688108161213,0.010244262406905576,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016129020867827364,0.0,0.0,2,22.801,22.823,33.5,15.6,82.286,81.056,15.5,22.823,421.741,447.409,288.9,973.0,451.0,1943.3,False,0,1,2019,1,2023
17293,202304,82505,1,31.0,44,18,0.2989230769230769,0.14965197215777262,3,5,2,0.35310054184226375,0,1.0,2,0.6,0.24704606533368695,0.5229428802181483,0.4658783553964511,0.23415031828107216,0.7067582417582418,0.5060843123048588,0.5050610353056354,0.0,0.6571899886234358,0.764404278863888,0.738981896600647,0.4940131593575096,0.4608561148660008,0.3721097046413502,0.063160339022408,0.5713733333333334,0.60764,0.74154116741783,0.9431233007361682,0.013555664419791518,0,0,0,0,3.2025,176893.2,26,125.0,639.0,174.0,68.0,197.0,200.0,0.2460376604718699,0.0014697317209806638,0.0,108480.0,2,22.788,22.828,33.5,15.6,82.571,81.084,15.5,22.828,425.846,447.822,306.3,990.5,451.3,1965.0,True,0,12,2016,12,2023
17295,202304,80170,4,31.0,118,2,0.10230769230769231,0.22041763341067286,2,4,4,0.3383503913305238,0,1.0,2,0.44000000000000006,0.07427910480788234,0.45940331912011184,0.4271142830031821,0.07380324683255296,0.7408997252747253,0.4660738596912709,0.4854085082298232,0.0,0.6860238907849829,0.7959424566580598,0.7602973724533227,0.4659719602481675,0.5075759104206597,0.2843881856540084,0.012260536398467433,0.5367666666666667,0.5437533333333333,0.7604704847752006,0.9606836021799147,0.012978959574850709,0,0,0,0,2.4542,55440.0,45,124.0,697.0,163.0,186.0,218.0,130.0,0.18854820494303298,0.0017345776947846321,250.0,34180.0,4,22.833,22.948,33.3,15.4,83.132,81.794,16.4,22.948,399.048,432.501,247.9,1184.4,387.7,1629.6,True,0,4,2018,4,2023
